eval_idx,region,energy_mean,energy_std,energy_range,gar,grad_var
177,near,-3.833496,0.518619,1.318359,0.679337,0.000145
178,near,-3.521973,0.312254,0.804688,0.913203,7.5e-05
179,near,-3.876953,0.256919,0.603516,0.757877,0.000292
180,near,-3.497558,0.348194,0.84375,0.792648,0.000166
181,near,-3.991699,0.147123,0.40625,0.684178,0.0002
182,near,-4.168457,0.200709,0.513672,0.630323,0.000148
183,near,-3.893066,0.353746,0.863281,0.780213,0.000153
184,near,-4.12207,0.267305,0.644531,0.590256,0.000333
185,near,-4.191894,0.233855,0.603516,0.624829,0.000167
186,near,-3.759766,0.286361,0.703125,0.899304,6.4e-05
187,near,-4.00293,0.322252,0.765625,0.820926,6.1e-05
188,near,-3.690918,0.219982,0.548828,0.816894,0.000158
189,near,-4.259766,0.093117,0.246094,0.725332,0.00012
190,near,-3.658692,0.306853,0.757812,0.581316,0.000878
191,near,-4.188476,0.131612,0.339844,0.713167,0.000123
192,near,-3.862305,0.219405,0.583984,0.630672,0.000524
193,near,-3.261719,0.347654,0.908203,0.915029,5.1e-05
194,near,-3.92334,0.195085,0.429688,0.757318,0.000208
195,near,-4.15625,0.081143,0.203125,0.90136,7.1e-05
196,near,-3.96875,0.268222,0.673828,0.710824,0.000338
197,near,-4.019531,0.269828,0.691406,0.632541,0.000332
198,near,-4.146973,0.212026,0.548828,0.623719,0.000584
199,near,-4.023926,0.159023,0.417969,0.711992,0.00054
200,near,-4.279297,0.11167,0.308594,0.900524,1e-04
201,near,-4.0,0.226916,0.578125,0.748849,0.000131
202,near,-4.009766,0.270499,0.660156,0.719779,0.000471
203,near,-3.574707,0.315886,0.802734,0.73465,0.000136
204,near,-4.195312,0.169843,0.433594,0.608681,6.1e-05
205,near,-3.993652,0.358672,0.853516,0.710008,0.00017
206,near,-3.387207,0.381458,0.994141,0.91286,6e-05
207,near,-3.625976,0.277077,0.652344,0.789111,0.000218
208,near,-3.756348,0.355934,0.875,0.703673,0.000224
209,near,-3.513672,0.387785,1.017578,0.747244,0.000171
210,near,-4.033692,0.363647,0.857422,0.524389,0.000341
211,near,-3.76709,0.322888,0.849609,0.75657,8.6e-05
212,near,-4.177246,0.138033,0.373047,0.753063,0.000113
213,near,-3.822754,0.323286,0.802734,0.654296,0.000569
214,near,-4.20752,0.18458,0.478516,0.748114,0.000124
215,near,-4.020508,0.224301,0.582031,0.754979,0.000293
216,near,-4.016602,0.158321,0.398438,0.804502,0.000309
217,near,-3.662598,0.361712,0.935547,0.823738,0.000168
218,near,-4.129883,0.224913,0.574219,0.537448,8.1e-05
219,near,-3.295898,0.488089,1.289062,0.852455,4.3e-05
220,near,-3.802246,0.155959,0.341797,0.753359,0.00028
221,near,-4.124024,0.248613,0.636719,0.640397,0.000256
222,near,-3.990234,0.405691,0.96875,0.640266,0.000161
223,near,-3.686035,0.317824,0.808594,0.856842,0.000237
224,near,-4.250488,0.168775,0.443359,0.690591,0.000123
225,near,-3.913574,0.240149,0.591797,0.771149,0.000579
226,near,-4.148438,0.221281,0.554688,0.775683,4.1e-05
