=== mushroom n=100 on GPU 2 ===

============================================================
Dataset: mushroom, N_real: 100, GPUs: [2]
Methods: ['baseline', 'smote', 'tabebm', 'tvae', 'ctgan'], Classifiers: ['lr', 'knn', 'mlp', 'rf', 'xgboost', 'tabpfn']
Splits: 10 splits, N_syn: 500, Seed: 42
============================================================

[env] tabpfn=2.1.2, torch=2.11.0+cu130, gpus=[2], cpu_jobs=6

[1/4] Loading dataset...
  Loaded mushroom: 8124 samples, 22 features, 2 classes
[2/4] Preparing splits...
[3/4] Running experiments (10 splits)...
  [266/300] split=8    ctgan +      knn -> 93.77% (0.1s)
  [267/300] split=8    ctgan +      mlp -> 95.06% (0.3s)
  [268/300] split=8    ctgan +       rf -> 95.98% (0.2s)
  [269/300] split=8    ctgan +  xgboost -> 94.21% (0.1s)
  [270/300] split=8    ctgan +   tabpfn -> 98.56% (0.9s)
  [271/300] split=9 baseline +       lr -> 91.31% (0.1s)
  [272/300] split=9 baseline +      knn -> 88.70% (0.2s)
  [273/300] split=9 baseline +      mlp -> 95.31% (0.3s)
  [274/300] split=9 baseline +       rf -> 94.68% (0.2s)
  [275/300] split=9 baseline +  xgboost -> 93.18% (0.2s)
  [276/300] split=9 baseline +   tabpfn -> 98.96% (1.0s)
  [277/300] split=9    smote +       lr -> 90.21% (0.6s)
  [278/300] split=9    smote +      knn -> 96.75% (0.2s)
  [279/300] split=9    smote +      mlp -> 94.32% (1.0s)
  [280/300] split=9    smote +       rf -> 97.58% (0.2s)
  [281/300] split=9    smote +  xgboost -> 95.72% (0.2s)
  [282/300] split=9    smote +   tabpfn -> 98.55% (1.8s)
  [283/300] split=9   tabebm +       lr -> 91.34% (0.2s)
  [284/300] split=9   tabebm +      knn -> 97.60% (0.1s)
  [285/300] split=9   tabebm +      mlp -> 95.52% (0.3s)
  [286/300] split=9   tabebm +       rf -> 97.79% (0.2s)
  [287/300] split=9   tabebm +  xgboost -> 96.01% (0.1s)
  [288/300] split=9   tabebm +   tabpfn -> 98.55% (0.7s)
  [289/300] split=9     tvae +       lr -> 90.49% (0.3s)
  [290/300] split=9     tvae +      knn -> 88.28% (0.2s)
  [291/300] split=9     tvae +      mlp -> 93.49% (0.9s)
  [292/300] split=9     tvae +       rf -> 97.37% (0.3s)
  [293/300] split=9     tvae +  xgboost -> 94.78% (0.1s)
  [294/300] split=9     tvae +   tabpfn -> 97.58% (1.3s)
  [295/300] split=9    ctgan +       lr -> 91.31% (0.1s)
  [296/300] split=9    ctgan +      knn -> 88.70% (0.1s)
  [297/300] split=9    ctgan +      mlp -> 95.73% (1.1s)
  [298/300] split=9    ctgan +       rf -> 97.79% (0.2s)
  [299/300] split=9    ctgan +  xgboost -> 93.18% (0.2s)
  [300/300] split=9    ctgan +   tabpfn -> 98.96% (1.1s)

[4/4] Saving results...
  Results: experiments/results/full_v3/mushroom_n100.csv

============================================================
SUMMARY
============================================================
             mean                                       std                                 
classifier    knn     lr    mlp     rf tabpfn xgboost   knn    lr   mlp    rf tabpfn xgboost
method                                                                                      
baseline    92.50  91.49  94.50  95.47  97.49   94.76  2.43  2.52  1.94  2.03   1.77    1.15
ctgan       92.50  91.49  94.86  96.09  97.49   94.76  2.43  2.52  1.85  1.99   1.77    1.15
smote       95.94  91.85  94.18  96.22  95.95   94.36  1.10  2.65  2.22  1.71   1.78    1.70
tabebm      96.13  91.81  94.85  96.45  96.44   95.15  1.32  2.61  1.88  1.63   1.54    1.96
tvae        92.89  90.59  93.98  96.02  96.89   95.58  2.51  3.08  2.34  2.06   1.57    1.71

  Done in 11.9 min
[DONE] mushroom
